UF;Cidade;Bairro
RO;Porto Velho;Castanheira
RO;Porto Velho;Aeroclube
RO;Porto Velho;Lagoa
RO;Porto Velho;Três Marias
RO;Porto Velho;Caiari
RO;Porto Velho;Pedrinhas
RO;Porto Velho;Panair
RO;Porto Velho;Nacional
RO;Porto Velho;São Sebastião
RO;Porto Velho;Baixa União
RO;Porto Velho;Marcos Freire
RO;Porto Velho;Maringá
RO;Porto Velho;Tancredo Neves
RO;Porto Velho;Jardim Santana
RO;Porto Velho;Aeroporto
RO;Porto Velho;Cascalheira
RO;Porto Velho;São Francisco
RO;Porto Velho;Ulisses Guimarães
RO;Porto Velho;Ronaldo Aragão
RO;Porto Velho;Bairro Novo
RO;Porto Velho;Embratel
RO;Porto Velho;Cidade Jardim
RO;Porto Velho;Nova Esperança
RO;Porto Velho;Igarapé
RO;Porto Velho;Cuniã
RO;Porto Velho;Escola de Polícia
RO;Porto Velho;Esperança da Comunidade
RO;Porto Velho;Planalto
RO;Porto Velho;Socialista
RO;Porto Velho;Teixeirão
RO;Porto Velho;Juscelino Kubitschek
RO;Porto Velho;Lagoinha
RO;Porto Velho;Centro/São Carlos
RO;Porto Velho;Fortaleza do Abunã
RO;Porto Velho;Extrema
RO;Porto Velho;Área Rural de Porto Velho
RO;Porto Velho;Centro/Nova Califórnia
RO;Porto Velho;Mutum Paraná
RO;Porto Velho;Militar
RO;Porto Velho;Vista Alegre do Abunã
RO;Porto Velho;Centro/Abunã
RO;Porto Velho;Nazaré
RO;Porto Velho;São Carlos
RO;Porto Velho;Jaci Paraná
RO;Porto Velho;Distrito Jaci-Paraná/Jaci Paraná
RO;Porto Velho;Centro/Calama
RO;Porto Velho;Calama
RO;Porto Velho;Centro/Extrema
RO;Porto Velho;Nova Califórnia
RO;Porto Velho;União Bandeirante
RO;Porto Velho;Abunã
RO;Porto Velho;Centro-Distrito de Vista A. do Abunã/Vista Alegre do Abunã
RO;Porto Velho;Centro/Nazaré
RO;Porto Velho;Demarcação
RO;Porto Velho;Centro/Mutum Paraná
RO;Presidente Médici;Centro
RO;Rio Crespo;Centro
RO;Rolim de Moura;Centro
RO;Vilhena;Centro (S-01)
RO;Vilhena;Parque Industrial Tancredo Neves
RO;Vilhena;Assosete
RO;Vilhena;BNH
RO;Vilhena;Jardim Oliveiras
RO;Vilhena;Marcos Freire
RO;Vilhena;São José
RO;Vilhena;Jardim Araucária
RO;Vilhena;Nova Esperança
RO;Vilhena;Jardim América
RO;Vilhena;Green Ville
RO;Vilhena;Bodanese
RO;Vilhena;S-94
RO;Vilhena;S-90
RO;Vilhena;Bela Vista
RO;Vilhena;Jardim Universitário
RO;Vilhena;Jardim Social
RO;Vilhena;Parque Industrial Novo Tempo
RO;Vilhena;Parque Cidade Jardim II
RO;Vilhena;Residencial Barão Melgaço II
RO;Vilhena;Residencial Moysés de Freitas
RO;Vilhena;Residencial Barão Melgaço I
RO;Vilhena;S-43A
RO;Vilhena;Residencial Cidade Verde III
RO;Vilhena;Residencial Cidade Verde II
RO;Vilhena;Residencial Moriá
RO;Vilhena;Jardim Primavera
RO;Vilhena;S-29
RO;Vilhena;S-35
RO;Vilhena;Cristo Rei
RO;Vilhena;Parque Cidade Jardim I
RO;Vilhena;Residencial Cidade Verde
RO;Vilhena;Residencial Barão Melgaço III
RO;Vilhena;Residencial Maria Moura
RO;Vilhena;Residencial Alto dos Parecis
RO;Vilhena;Residencial Solar de Vilhena
RO;Vilhena;S-23
RO;Vilhena;Alto Alegre
RO;Vilhena;S-22
RO;Vilhena;Residencial Alphaville I
RO;Vilhena;Residencial Orleans
RO;Vilhena;S-45
RO;Vilhena;Residencial Florença
RO;Vilhena;S-30
RO;Vilhena;Jardim Vitória
RO;Vilhena;S-26
RO;Vilhena;Jardim Eldorado
RO;Vilhena;Residencial Alvorada
RO;Vilhena;Hípica
RO;Vilhena;São Paulo
RO;Vilhena;S-12
RO;Vilhena;S-13
RO;Vilhena;S-11
RO;Vilhena;Centro (5º BEC)
RO;Vilhena;Residencial Ipê
RO;Vilhena;S-70
RO;Vilhena;Santo Antônio
RO;Vilhena;Jardim Vilhena
RO;Vilhena;S-32
RO;Vilhena;Residencial Santos Dumont II
RO;Vilhena;Residencial União
RO;Vilhena;Aripuanã
RO;Vilhena;João Pedro
RO;Vilhena;Jardim Bandeirante
RO;Vilhena;São Jerônimo
RO;Vilhena;Parque Recreativo
RO;Vilhena;Cidade Nova
RO;Vilhena;Nova Jerusalém
RO;Vilhena;Jardim Novo Horizonte
RO;Vilhena;Residencial Iquê
RO;Vilhena;Jardim Acácia
RO;Vilhena;S-31
RO;Vilhena;S-56
RO;Vilhena;S-27
RO;Vilhena;Nova Conquista
RO;São Miguel do Guaporé;Centro
RO;Nova Mamoré;Centro
RO;Nova Mamoré;Nova Dimensão
RO;Nova Mamoré;Projeto Girão/Palmeiras
RO;Nova Mamoré;Centro/Nova Dimensão
RO;Nova Mamoré;Palmeiras
RO;Alto Paraíso;Centro
RO;Buritis;Centro
RO;Buritis;Setor 3
RO;Novo Horizonte do Oeste;Centro
RO;Cacaulândia;Centro
RO;Campo Novo de Rondônia;Centro
RO;Candeias do Jamari;Centro
RO;Candeias do Jamari;Centro/Triunfo
RO;Candeias do Jamari;Triunfo
RO;Castanheiras;Centro
RO;Chupinguaia;Guaporé
RO;Chupinguaia;Centro
RO;Cujubim;Centro
RO;Governador Jorge Teixeira;Centro
RO;Itapuã do Oeste;Centro
RO;Ministro Andreazza;Centro
RO;Mirante da Serra;Centro
RO;Monte Negro;Centro
RO;Nova União;Centro
RO;Parecis;Centro
RO;Pimenteiras do Oeste;Centro
RO;Primavera de Rondônia;Centro
RO;São Francisco do Guaporé;Centro
RO;São Francisco do Guaporé;Pedras Negras
RO;Seringueiras;Centro
RO;Teixeirópolis;Centro
RO;Theobroma;Centro
RO;Urupá;Centro
RO;Vale do Anari;Centro
RO;Vale do Paraíso;Centro
AC;Acrelândia;Centro
AC;Assis Brasil;Centro
AC;Brasiléia;Centro
AC;Bujari;Centro
AC;Capixaba;Centro
AC;Capixaba;Conquista
AC;Cruzeiro do Sul;Centro
AC;Cruzeiro do Sul;Comunidade Santa Luzia
AC;Epitaciolândia;Centro
AC;Feijó;Centro
AC;Jordão;Centro
AC;Mâncio Lima;Centro
AC;Manoel Urbano;Centro
AC;Marechal Thaumaturgo;Centro
AC;Plácido de Castro;Centro
AC;Plácido de Castro;Campinas/Campinas
AC;Plácido de Castro;Campinas
AC;Porto Walter;Centro
AC;Rio Branco;Vitória
AC;Rio Branco;Morada do Sol
AC;Rio Branco;7º BEC
AC;Rio Branco;Aviário
AC;Rio Branco;Irineu Serra
AC;Rio Branco;Conjunto Rui Lino
AC;Rio Branco;Areal
AC;Rio Branco;Portal da Amazônia
AC;Rio Branco;Bosque
AC;Rio Branco;Dom Giocondo
AC;Rio Branco;Base
AC;Rio Branco;Triângulo Velho
AC;Rio Branco;Comara
AC;Rio Branco;Taquarí
AC;Rio Branco;Loteamento Santa Luzia
AC;Rio Branco;São Francisco
AC;Rio Branco;Preventório
AC;Rio Branco;Eldorado
AC;Rio Branco;Santa Inês
AC;Rio Branco;Volta Seca
AC;Rio Branco;Ayrton Sena
AC;Rio Branco;Cidade do Povo
AC;Rio Branco;Vila Acre
AC;Rio Branco;Pedro Roseno
AC;Rio Branco;Jardim Tropical
AC;Rio Branco;Jardim Primavera
AC;Rio Branco;Nova Estação
AC;Rio Branco;Cidade Nova
AC;Rio Branco;Belo Jardim I
AC;Rio Branco;LBA Vila Betel ll
AC;Rio Branco;Belo Jardim II
AC;Rio Branco;Wanderley Dantas
AC;Rio Branco;Cerâmica
AC;Rio Branco;Boa União
AC;Rio Branco;Conjunto Ouricurí
AC;Rio Branco;Loteamento Joafra
AC;Rio Branco;Pista
AC;Rio Branco;Conjunto Jardim São Francisco
AC;Rio Branco;Waldemar Maciel
AC;Rio Branco;Vilage Wilde Maciel
AC;Rio Branco;Vila Nova
AC;Rio Branco;Distrito Industrial
AC;Rio Branco;Loteamento Vila Maria
AC;Rio Branco;Raimundo Melo
AC;Rio Branco;Loteamento Novo Horizonte
AC;Rio Branco;Conjunto Adalberto Sena
AC;Rio Branco;Alto Alegre
AC;Rio Branco;Montanhês
AC;Rio Branco;Tancredo Neves
AC;Rio Branco;Parque dos Sabiás
AC;Rio Branco;Jorge Lavocat
AC;Rio Branco;Defesa Civil
AC;Rio Branco;Chico Mendes
AC;Rio Branco;João Eduardo II
AC;Rio Branco;Seis de Agosto
AC;Rio Branco;Vila Custódio Freire
AC;Rio Branco;Placas
AC;Rio Branco;Conjunto Universitário
AC;Rio Branco;Estação Experimental
AC;Rio Branco;Triângulo Novo
AC;Rio Branco;Centro
AC;Rio Branco;Vila do DNER
AC;Rio Branco;Conquista
AC;Rio Branco;Loteamento Santa Helena
AC;Rio Branco;Tangará
AC;Rio Branco;Conjunto Mascarenhas de Moraes
AC;Rio Branco;Floresta Sul
AC;Rio Branco;Vila Ivonete
AC;Rio Branco;Mocinha Magalhães
AC;Rio Branco;Loteamento Isaura Parente
AC;Rio Branco;Loteamento Santo Afonso
AC;Rio Branco;Rosa Linda
AC;Rio Branco;Calafate
AC;Rio Branco;João Eduardo I
AC;Rio Branco;Jardim Europa
AC;Rio Branco;Vila da Amizade
AC;Rio Branco;Quinze
AC;Rio Branco;Bahia Velha
AC;Rio Branco;Conjunto Castelo Branco
AC;Rio Branco;Vila Santa Cecília
AC;Rio Branco;Conjunto Guiomard Santos
AC;Rio Branco;Conjunto Esperança
AC;Rio Branco;Nova Esperança
AC;Rio Branco;Jardim Nazle
AC;Rio Branco;Conjunto Tucumã
AC;Rio Branco;José Augusto
AC;Rio Branco;Recanto dos Buritis
AC;Rio Branco;Habitasa
AC;Rio Branco;Conjunto Manoel Julião
AC;Rio Branco;Plácido de Castro
AC;Rio Branco;Ivete Vargas
AC;Rio Branco;Glória
AC;Rio Branco;Isaura Parente
AC;Rio Branco;Capoeira
AC;Rio Branco;Novo Horizonte
AC;Rio Branco;Cadeia Velha
AC;Rio Branco;Doca Furtado
AC;Rio Branco;Residencial Petrópolis
AC;Rio Branco;Baixada da Habitasa
AC;Rio Branco;Abraão Alab
AC;Rio Branco;Jardim Brasil
AC;Rio Branco;Vila Albert Sampaio
AC;Rio Branco;Bahia Nova
AC;Rio Branco;Conjunto Bela Vista
AC;Rio Branco;Adalberto Aragão
AC;Rio Branco;Jardim América
AC;Rio Branco;Paz
AC;Rio Branco;Conjunto Mariana
AC;Rio Branco;Conjunto Laélia Alcântara
AC;Rio Branco;Xavier Maia
AC;Rio Branco;Santa Quitéria
AC;Rio Branco;Sobral
AC;Rio Branco;Conjunto Oscar Passos
AC;Rio Branco;Casa Nova
AC;Rio Branco;Aeroporto Velho
AC;Rio Branco;Chácara Ipê
AC;Rio Branco;Horto Florestal
AC;Rio Branco;Geraldo Fleming
AC;Rio Branco;Conjunto Jardim Universitário
AC;Rio Branco;Ipase
AC;Rio Branco;Invasão da Seis de Agosto
AC;Rio Branco;Jardim de Alah
AC;Rio Branco;Vila Liberdade
AC;Rio Branco;Papouco
AC;Rio Branco;João Paulo
AC;Rio Branco;Praia do Amapá
AC;Rio Branco;Baixada da Cadeia Velha
AC;Rio Branco;Conjunto Habitar Brasil
AC;Rio Branco;Baixa da Colina
AC;Rio Branco;Palheiral
AC;Rio Branco;Boa Esperança
AC;Rio Branco;Área Rural de Rio Branco
AC;Rio Branco;Residencial Iolanda
AC;Rio Branco;Loteamento Jardim São Francisco
AC;Rio Branco;Vila Aeroporto
AC;Rio Branco;Vilage Tiradentes
AC;Rio Branco;Loteamento dos Engenheiros
AC;Rio Branco;Jardim Manoel Julião
AC;Rio Branco;Residencial Araçá
AC;Rio Branco;Boa Vista
AC;Rio Branco;Conjunto Paulo César de Oliveira
AC;Rodrigues Alves;Centro
AC;Santa Rosa do Purus;Centro
AC;Senador Guiomard;Centro
AC;Sena Madureira;Centro
AC;Tarauacá;Centro
AC;Xapuri;Centro
AC;Porto Acre;Centro
AM;Alvarães;Centro
AM;Amaturá;Centro
AM;Anamã;Centro
AM;Anori;Centro
AM;Apuí;Centro
AM;Apuí;Sucunduri
AM;Atalaia do Norte;Estirão do Equador
AM;Atalaia do Norte;Centro
AM;Autazes;Santa Luzia
AM;Autazes;Centro
AM;Autazes;Murutinga
AM;Autazes;Novo Céu
AM;Barcelos;Centro
AM;Barcelos;Moura
AM;Barcelos;Carvoeiro
AM;Barreirinha;Centro
AM;Barreirinha;Ariaú
AM;Barreirinha;Pedras/Pedras
AM;Barreirinha;Cametá
AM;Barreirinha;Pedras
AM;Barreirinha;Freguesia do Andirá
AM;Barreirinha;Centro/Cametá
AM;Benjamin Constant;Colônia
AM;Benjamin Constant;Feijoal
AM;Benjamin Constant;Centro
AM;Beruri;Centro
AM;Beruri;São Francisco
AM;Boa Vista do Ramos;Centro
AM;Boa Vista do Ramos;Massauari
AM;Boa Vista do Ramos;Lago Preto
AM;Boca do Acre;Floriano Peixoto
AM;Boca do Acre;Centro
AM;Boca do Acre;Platô do Piquiá
AM;Borba;Centro
AM;Borba;Canumã
AM;Borba;Axinim
AM;Caapiranga;Araras
AM;Caapiranga;Centro
AM;Canutama;Centro
AM;Carauari;Centro
AM;Careiro;Janauacá
AM;Careiro;Centro
AM;Careiro;Purupuru
AM;Careiro;Careiro Parauá
AM;Careiro;Vista Alegre
AM;Careiro;Terra Nova
AM;Careiro da Várzea;Centro
AM;Coari;Centro
AM;Codajás;Badajós
AM;Codajás;Murituba
AM;Codajás;Centro
AM;Eirunepé;Centro
AM;Envira;Centro
AM;Fonte Boa;Centro
AM;Fonte Boa;Cidade Nova
AM;Guajará;Centro
AM;Humaitá;Centro
AM;Humaitá;São Pedro
AM;Ipixuna;Centro
AM;Iranduba;Cacau Pirêra/Cacau Pirêra
AM;Iranduba;Centro
AM;Iranduba;Lago do Limão
AM;Iranduba;Cacau Pirêra
AM;Itacoatiara;São Cristóvão
AM;Itacoatiara;Mamoud Amed
AM;Itacoatiara;Colônia
AM;Itacoatiara;Santo Antônio
AM;Itacoatiara;São Francisco
AM;Itacoatiara;Iraci
AM;Itacoatiara;Centro
AM;Itacoatiara;Pedreiras
AM;Itacoatiara;Araújo Costa
AM;Itacoatiara;Prainha
AM;Itacoatiara;Nogueira Júnior
AM;Itacoatiara;Jardim Florestal
AM;Itacoatiara;Mutirão
AM;Itacoatiara;Tiradentes
AM;Itacoatiara;Eduardo Braga II
AM;Itacoatiara;Eduardo Braga I
AM;Itacoatiara;Santa Luzia
AM;Itacoatiara;Jauari I
AM;Itacoatiara;Jauari II
AM;Itacoatiara;Da Paz
AM;Itacoatiara;Jardim Adriana
AM;Itacoatiara;Jardim Lorena
AM;Itacoatiara;Novo Remanso/Novo Remanso
AM;Itacoatiara;São Jorge
AM;Itacoatiara;Amatari
AM;Itacoatiara;Área Rural de Itacoatiara
AM;Itacoatiara;Novo Remanso
AM;Itacoatiara;Centenário
AM;Itacoatiara;Vila Lindóia
AM;Itamarati;Centro
AM;Itapiranga;Centro
AM;Japurá;Centro
AM;Japurá;Vila Bittencourt
AM;Juruá;Centro
AM;Jutaí;Centro
AM;Lábrea;Centro
AM;Manacapuru;Morada do Sol
AM;Manacapuru;São Francisco
AM;Manacapuru;Centro
AM;Manacapuru;Biribiri
AM;Manacapuru;Aparecida
AM;Manacapuru;Liberdade
AM;Manacapuru;São José
AM;Manacapuru;União
AM;Manacapuru;Terra Preta
AM;Manacapuru;Nova Manacá
AM;Manacapuru;Vale Verde
AM;Manacapuru;Repartimento de Tuiué
AM;Manacapuru;Correnteza
AM;Manacapuru;Vila de Campinas
AM;Manacapuru;Área Rural de Manacapuru
AM;Manacapuru;Vila do Lago do Jacaré
AM;Manacapuru;Vila Rica de Caviana
AM;Manacapuru;Vila de Sacambu
AM;Manaquiri;Centro
AM;Manaus;Nossa Senhora das Graças
AM;Manaus;Tarumã-Açu
AM;Manaus;Japiim
AM;Manaus;Mauazinho
AM;Manaus;Dom Pedro I
AM;Manaus;Petrópolis
AM;Manaus;Centro
AM;Manaus;São Francisco
AM;Manaus;Da Paz
AM;Manaus;Alvorada
AM;Manaus;Santa Etelvina
AM;Manaus;Ponta Negra
AM;Manaus;Novo Aleixo
AM;Manaus;Planalto
AM;Manaus;Cidade Nova
AM;Manaus;Parque 10 de Novembro
AM;Manaus;Compensa
AM;Manaus;Jorge Teixeira
AM;Manaus;Flores
AM;Manaus;Aleixo
AM;Manaus;Cachoeirinha
AM;Manaus;Raiz
AM;Manaus;Monte das Oliveiras
AM;Manaus;Colônia Terra Nova
AM;Manaus;Cidade de Deus
AM;Manaus;Distrito Industrial I
AM;Manaus;Zumbi dos Palmares
AM;Manaus;Santo Antônio
AM;Manaus;Lago Azul
AM;Manaus;Gilberto Mestrinho
AM;Manaus;Coroado
AM;Manaus;Vila da Prata
AM;Manaus;São Jorge
AM;Manaus;Nova Cidade
AM;Manaus;Santo Agostinho
AM;Manaus;Lírio do Vale
AM;Manaus;Presidente Vargas
AM;Manaus;Colônia Santo Antônio
AM;Manaus;São José Operário
AM;Manaus;Redenção
AM;Manaus;Novo Israel
AM;Manaus;Crespo
AM;Manaus;Tarumã
AM;Manaus;Adrianópolis
AM;Manaus;São Raimundo
AM;Manaus;Puraquequara
AM;Manaus;São Geraldo
AM;Manaus;São Lázaro
AM;Manaus;Morro da Liberdade
AM;Manaus;Nova Esperança
AM;Manaus;Armando Mendes
AM;Manaus;Betânia
AM;Manaus;Distrito Industrial II
AM;Manaus;Tancredo Neves
AM;Manaus;Educandos
AM;Manaus;Glória
AM;Manaus;Colônia Oliveira Machado
AM;Manaus;Chapada
AM;Manaus;Vila Buriti
AM;Manaus;Praça 14 de Janeiro
AM;Manaus;Santa Luzia
AM;Manaus;Margem Esquerda do Rio Negro
AM;Manaus;Nossa Senhora Aparecida
AM;Manaus;Colônia Antônio Aleixo
AM;Manaus;Margem Esquerda do Rio Amazonas
AM;Manicoré;Centro
AM;Manicoré;Santo Antônio do Matupi
AM;Maraã;Centro
AM;Maués;Osório da Fonseca
AM;Maués;Repartimento
AM;Maués;Centro
AM;Nhamundá;Centro
AM;Nova Olinda do Norte;Centro
AM;Novo Airão;Centro
AM;Novo Aripuanã;Centro
AM;Parintins;Centro
AM;Parintins;Raimundo Muniz
AM;Parintins;Francesa
AM;Parintins;São José Operário
AM;Parintins;São Benedito
AM;Parintins;Vitória Régia
AM;Parintins;Santa Clara
AM;Parintins;Itaúna I
AM;Parintins;Tonzinho Saunier
AM;Parintins;Paulo Correa
AM;Parintins;Itaúna II
AM;Parintins;Jacareacanga
AM;Parintins;Lady Laura
AM;Parintins;Distrito Industrial
AM;Parintins;João Novo
AM;Parintins;Pascal Alárgio
AM;Parintins;União
AM;Parintins;Djard Vieira
AM;Parintins;Emílio Moreira
AM;Parintins;Palmares
AM;Parintins;Castanheira
AM;Parintins;Nossa Senhora de Nazaré
AM;Parintins;Vila Amazônia
AM;Parintins;Vila Zé Açu
AM;Parintins;São Vicente de Paula
AM;Parintins;Santa Rita de Cássia
AM;Parintins;Mocambo/Mocambo
AM;Parintins;Área Rural de Parintins
AM;Parintins;Teixeirão
AM;Parintins;Agrovila São Sebastião do Caburi
AM;Parintins;Agrovila São Sebastião do Caburi/Agrovila São Sebastião do Caburi
AM;Parintins;Mocambo
AM;Pauini;Centro
AM;Presidente Figueiredo;Centro
AM;Presidente Figueiredo;Vila C
AM;Presidente Figueiredo;Balbina
AM;Presidente Figueiredo;Vila Pitinga
AM;Presidente Figueiredo;Centro (Vila Waimiri)/Balbina
AM;Rio Preto da Eva;Centro
AM;Santa Isabel do Rio Negro;Centro
AM;Santo Antônio do Içá;Centro
AM;São Gabriel da Cachoeira;Centro
AM;São Gabriel da Cachoeira;Iauaretê
AM;São Gabriel da Cachoeira;Içanã
AM;São Gabriel da Cachoeira;Cucuí
AM;São Gabriel da Cachoeira;São Felipe
AM;São Gabriel da Cachoeira;Cucuí/Cucuí
AM;São Paulo de Olivença;Centro
AM;São Paulo de Olivença;Santa Rita do Well
AM;São Paulo de Olivença;Santa Rita
AM;São Sebastião do Uatumã;Centro
AM;São Sebastião do Uatumã;Santana/Santana
AM;São Sebastião do Uatumã;Santana
AM;Silves;Centro
AM;Tabatinga;Centro
AM;Tabatinga;Palmeiras
AM;Tapauá;Centro
AM;Tefé;Centro
AM;Tefé;Olaria
AM;Tefé;Santo Antônio
AM;Tefé;Santa Luzia
AM;Tefé;São Francisco
AM;Tefé;Juruá
AM;Tefé;Abial
AM;Tefé;São José
AM;Tefé;São Raimundo
AM;Tefé;Jerusalém
AM;Tefé;Fonte Boa
AM;Tefé;Santa Teresa
AM;Tefé;Nova Esperança
AM;Tefé;São João
AM;Tefé;Aeroporto
AM;Tefé;Caiambé/Caiambé
AM;Tefé;Monte Castelo
AM;Tefé;Nossa Senhora de Fátima
AM;Tefé;Santa Rosa
AM;Tefé;Mutirão
AM;Tefé;Colônia Ventura
AM;Tefé;Vila Nova
AM;Tefé;Caiambé
AM;Tefé;Área Rural de Tefé
AM;Tonantins;Centro
AM;Uarini;Centro
AM;Urucará;Centro
AM;Urucará;São Jorge
AM;Urucurituba;Centro
AM;Urucurituba;Itapeaçu
AM;Urucurituba;Augusto Montenegro
AM;Urucurituba;Augusto Montenegro/Augusto Montenegro
RR;Amajari;Centro
RR;Alto Alegre;Centro
RR;Boa Vista;Buritis
RR;Boa Vista;Caimbé
RR;Boa Vista;Tancredo Neves
RR;Boa Vista;Asa Branca
RR;Boa Vista;Alvorada
RR;Boa Vista;Equatorial
RR;Boa Vista;Mecejana
RR;Boa Vista;Jardim Floresta
RR;Boa Vista;Senador Hélio Campos
RR;Boa Vista;Caçari
RR;Boa Vista;Pintolândia
RR;Boa Vista;Dr. Airton Rocha
RR;Boa Vista;Paraviana
RR;Boa Vista;Doutor Sílvio Leite
RR;Boa Vista;Raiar do Sol
RR;Boa Vista;Canarinho
RR;Boa Vista;Treze de Setembro
RR;Boa Vista;Liberdade
RR;Boa Vista;Pricumã
RR;Boa Vista;São Francisco
RR;Boa Vista;Aeroporto
RR;Boa Vista;Cambará
RR;Boa Vista;Caranã
RR;Boa Vista;União
RR;Boa Vista;Doutor Sílvio Botelho
